year,artificial intelligence,internet of things,virtual reality,quantum computing,robotics,cloud computing,autonomous vehicles,blockchain,covid-19,physics,superconductivity
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226628895184136,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231974921630094,0.005329153605015674
1993,0.0,0.0,0.0,0.0,0.0001486104919007282,0.0,0.0,0.0,0.0,0.043394263635012635,0.003715262297518205
1994,0.00019845207382417147,0.0,0.0,9.922603691208574e-05,0.0,0.0,0.0,0.0,0.0,0.04375868227822981,0.004068267513395515
1995,0.00015377518068583732,0.0,0.0,0.00015377518068583732,0.0,0.0,0.0,0.0,0.0,0.04482546516992157,0.006996770721205597
1996,6.300403225806451e-05,0.0,0.0,0.0005040322580645161,0.0,0.0,0.0,0.0,0.0,0.039944556451612906,0.004284274193548387
1997,0.00010198878123406426,0.0,0.0,0.00035696073431922486,5.099439061703213e-05,0.0,0.0,0.0,0.0,0.041560428352881186,0.005660377358490566
1998,0.00012412081092263137,0.0,0.0,0.0006206040546131568,0.0,0.0,0.0,0.0,0.0,0.03740173769135292,0.006247414149772445
1999,3.610108303249098e-05,0.0,3.610108303249098e-05,0.0007581227436823105,3.610108303249098e-05,0.0,0.0,0.0,0.0,0.03924187725631769,0.008231046931407943
2000,0.00016303107372265155,0.0,6.521242948906062e-05,0.0014672796635038638,0.0,0.0,0.0,0.0,0.0,0.04349669046920343,0.0069451237405849554
2001,0.00015087507543753772,0.0,6.0350030175015085e-05,0.0016596258298129149,0.0,0.0,0.0,0.0,0.0,0.04414604707302354,0.011315630657815328
2002,0.00011078797950422379,0.0,2.7696994876055948e-05,0.0013017587591746295,0.00016618196925633567,0.0,0.0,0.0,0.0,0.04221022019110927,0.010884918986289988
2003,0.0001269293257514216,0.0,5.077173030056864e-05,0.0016754670999187652,2.538586515028432e-05,0.0,0.0,0.0,0.0,0.043612916328188464,0.009291226645004062
2004,9.150595932560108e-05,0.0,0.0,0.0019902546153318236,0.00020588840848260242,0.0,0.0,0.0,0.0,0.041841099901631096,0.007915265481664494
2005,0.00012800273072492214,0.0,4.266757690830738e-05,0.001920040960873832,8.533515381661475e-05,0.0,0.0,0.0,0.0,0.041110210351154156,0.0072748218628664076
2006,0.00011927243812742272,0.0,1.9878739687903788e-05,0.0017294503528476294,3.9757479375807576e-05,0.0,0.0,0.0,0.0,0.04047311400457211,0.006818407712950999
2007,0.0001973129562862114,0.0,0.0001973129562862114,0.0012556279036395272,0.00017937541480564674,0.0,1.7937541480564672e-05,0.0,0.0,0.04224291018672981,0.005596512941936178
2008,0.00022105084169358953,0.0,0.00010202346539704132,0.0016153715354531542,0.00032307430709063083,8.501955449753443e-05,0.0,0.0,0.0,0.041047440911409626,0.01027036218330216
2009,0.00031215370448408795,0.0,6.24307408968176e-05,0.0014359070406268046,0.00031215370448408795,0.0001716845374662484,1.56076852242044e-05,0.0,0.0,0.04093895834308814,0.008646657614209236
2010,0.00048372410653312086,2.845435920783064e-05,9.959025722740723e-05,0.0013800364215797861,0.00022763487366264513,0.0005121784657409515,0.0,0.0,0.0,0.04165718188026406,0.0073269974960163894
2011,0.0006657789613848203,7.832693663350827e-05,6.527244719459022e-05,0.0012532309861361323,0.000287198767656197,0.0005091250881178037,0.0,0.0,0.0,0.04169603926790423,0.007924075089423253
2012,0.0007585275084741745,4.7407969279635906e-05,7.111195391945386e-05,0.0013037191551899874,0.00037926375423708725,0.000995567354872354,2.3703984639817953e-05,0.0,1.1851992319908976e-05,0.04141086116576197,0.007443051176902837
2013,0.0009152086137281292,0.00030148048452220726,0.00011843876177658142,0.0014535666218034994,0.0007967698519515477,0.0011090174966352625,6.460296096904441e-05,1.0767160161507402e-05,0.0,0.03933243606998654,0.007009421265141319
2014,0.0008812378317450559,0.0003176554974894969,7.172866072343477e-05,0.001649759196639,0.0009427195409365713,0.0011374116200430372,8.197561225535403e-05,5.123475765959627e-05,0.0,0.03909212009427195,0.006670765447279434
2015,0.000694378388661657,0.0006468182250546942,0.00018072862170645868,0.0013411966137163512,0.0009607153048606487,0.001169980024731285,0.00013316845809949586,0.00011414439265671075,0.0,0.03976029677542091,0.007029392181109103
2016,0.001225317348377997,0.0012782087447108603,0.0002997179125528914,0.0015779266572637518,0.0015867418899858955,0.001304654442877292,0.00026445698166431596,0.0002556417489421721,8.815232722143864e-06,0.04041784203102962,0.006858251057827927
2017,0.0018904355272618576,0.001971223370307236,0.0005655149013176497,0.0017288598411711006,0.0022620596052705987,0.0011956600770716022,0.0006866966658857175,0.0009129026264127774,0.0,0.03826112246629127,0.0059298276795307844
