year,Chemistry; Metallurgy,Electricity,Fixed Construction,General Technology,Human Necessities,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,Performing Operation; Transporting,Physics,Textiles; Paper
1990,13647,14697,3175,8779,14437,8673,17305,18535,1586
1991,13508,15903,3107,8865,13986,8290,17238,19253,1431
1992,14084,16978,2948,8851,15247,8343,17461,20134,1524
1993,14506,17893,2950,8768,17268,8665,18225,21083,1460
1994,15892,21867,3193,9299,20106,8771,19689,25518,1694
1995,20011,26431,3446,10278,24697,9521,21486,30647,1864
1996,15710,30713,3538,9681,21700,10049,21976,33408,1833
1997,18262,37943,4099,11135,25862,11019,24303,39376,1962
1998,16765,40187,3944,10932,25596,10963,24029,39000,1817
1999,17881,43434,4107,11271,27266,11295,24721,41709,1757
2000,18873,49127,4303,11553,29478,12596,26538,47984,1749
2001,26609,66784,5484,14558,41832,15614,34347,69052,2220
2002,27596,65812,5892,13610,44443,16136,35009,68457,2257
2003,25901,67551,6160,13266,47624,16525,36443,72071,2208
2004,25296,73810,6588,13001,49413,17781,37446,79450,2189
2005,24908,80939,6598,12609,51474,18765,39349,87171,2249
2006,25789,86374,6807,12553,54543,19139,38823,91919,2091
2007,25674,87149,6830,13598,54760,19468,37708,94855,1889
2008,24165,84748,6480,13645,50279,19412,36427,93146,1885
2009,24282,79247,6169,13562,49915,18602,33543,81356,1608
2010,24837,82034,6640,14279,52766,19758,34793,84714,1641
2011,26446,90563,6981,14520,53807,21228,38146,93452,1735
2012,27307,98664,7517,13504,56233,23066,39057,105238,1671
2013,28455,104094,8330,10495,61475,24150,41908,112001,1811
2014,28840,107092,8952,7485,62656,25852,44909,111875,1967
2015,29723,108337,8943,4334,62770,27165,47008,110817,2009
2016,30454,108835,8914,3444,64394,27002,49996,108885,2105
2017,31440,108959,9061,3892,65876,26599,52389,112474,2121
2018,31946,108265,9004,5212,64693,25204,52261,116150,2236
2019,33261,116853,9197,8180,66623,23671,52719,126578,2302
2020,33154,109687,8633,11093,63270,20334,47382,117157,2117
2021,19527,88684,6223,8616,47774,14401,33411,96243,1451
2022,11545,54215,3347,3108,28716,8234,20420,53694,846
