year,Chemistry; Metallurgy,Electricity,Fixed Construction,General Technology,Human Necessities,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,Performing Operation; Transporting,Physics,Textiles; Paper
1990,0.1353412539421227,0.14575440823531746,0.03148739512466033,0.0870638871809112,0.14317591288652637,0.08601265446178868,0.1716187000416526,0.18381696649939505,0.0157288216276256
1991,0.13297762376822436,0.15655486754412734,0.030586428564396886,0.087270257233144,0.13768322816274697,0.08160974985479567,0.16969708902255343,0.18953347574841753,0.014087280101593802
1992,0.13340911243724543,0.16082220327744626,0.027924599791607465,0.08384010609074548,0.14442549966846643,0.07902813299232736,0.16539736667613905,0.19071705977076822,0.014435919295254333
1993,0.13089931238607447,0.1614629392336985,0.02662022415131116,0.079120720460575,0.15582306123553935,0.07819126856647837,0.16445884242632064,0.19024887653630276,0.01317475500369976
1994,0.1260979615802712,0.17350768473922668,0.0253354386688778,0.07378460513056519,0.15953471026509772,0.06959509319283656,0.15622594799609613,0.20247720762681606,0.013441350800212649
1995,0.13486228021107824,0.1781292753115291,0.023223997681643876,0.0692676286047405,0.16644314299000545,0.06416589725099575,0.1448029060324435,0.20654261664229248,0.012562255275271092
1996,0.10571436261843238,0.20667124246339363,0.02380760120585702,0.06514454134366925,0.14602174849267874,0.0676208548664944,0.1478789836347976,0.2248062015503876,0.012334463824289406
1997,0.10497755243991469,0.2181121055868844,0.023562752570978552,0.0640085996286524,0.148665505486862,0.063341783503199,0.1397037266973632,0.2263495841021838,0.011278389983961922
1998,0.09677717294049056,0.23198235901935543,0.022767024758562168,0.06310575929528439,0.14775475804263621,0.06328470903349824,0.13870913740453608,0.2251303158174251,0.01048876368821183
1999,0.09747548258023016,0.2367736765499534,0.022388669926570397,0.061442098549397355,0.14863634629117808,0.06157293080609024,0.13476267573770312,0.2273701081001521,0.009578011458725149
2000,0.09333781732038912,0.2429612118634428,0.02128080474379454,0.057136215943541326,0.14578562915119114,0.06229444958234628,0.131245641712949,0.2373084208287793,0.0086498088535665
2001,0.09623508137432188,0.24153345388788428,0.01983363471971067,0.052650994575045205,0.15129113924050633,0.05647016274864376,0.12422061482820977,0.24973598553345389,0.008028933092224232
2002,0.09883529361202241,0.23570620173918028,0.021102244889188142,0.04874432330988639,0.15917295818231308,0.05779121241207398,0.1253850121054969,0.24517929028838303,0.008083463461455812
2003,0.09001247615109001,0.23475668030123475,0.02140754616002141,0.0461026797660461,0.16550535362416552,0.05742852277505743,0.12664857219312664,0.2504648148212505,0.007673354208007673
2004,0.0829447756202168,0.24202063126692766,0.021601841468453047,0.04262986352935004,0.1620236479175274,0.05830333077573826,0.12278423734482284,0.2605140110304485,0.007177661046515441
2005,0.0768618350809413,0.24976393406200048,0.02036030142380162,0.03890922107497948,0.15883997506649963,0.057905585968117214,0.12142429535088964,0.26899482197851027,0.0069400299942603575
2006,0.07629023955886616,0.2555156520864518,0.020136789355042924,0.03713487832728865,0.16135168235523817,0.05661789502955289,0.11484803483632018,0.2719191333518717,0.006185695099367527
2007,0.07508532423208192,0.25487305918445535,0.01997479023545686,0.03976825733846887,0.16014926988193526,0.056935463587682894,0.11027955932629682,0.2774097698073588,0.0055245064062632515
2008,0.07318580077350108,0.2566666767619561,0.01962524266551984,0.04132506731034232,0.1522743172808136,0.05879092756528876,0.11032233249643383,0.2821007489695233,0.005708886176621126
2009,0.07876503483800651,0.2570584266455606,0.02001076929065407,0.043991903569435976,0.16191239246928157,0.06034046528525645,0.10880551699082663,0.2638995212206926,0.00521596969028558
2010,0.07726263135300596,0.25519034909258326,0.02065562959230018,0.044418935986212986,0.16414381793182398,0.06146294118744984,0.10823363259109942,0.26352725983164416,0.00510480243388021
2011,0.07624006134721718,0.2610802645310455,0.020125231349350493,0.041859097434832994,0.15511793771873686,0.061197308563817825,0.1099694993628884,0.26940884114876124,0.005001758543349535
2012,0.07335523576453902,0.26504269899558636,0.02019303868026659,0.03627601361425037,0.1510596174148505,0.06196256887043091,0.10491945080952138,0.28270254152373225,0.004488834326822598
2013,0.07245638739149367,0.2650597501012174,0.021211094955935414,0.026723942564530874,0.1565368622348295,0.0614943509226699,0.10671243306282609,0.28519373903478057,0.004611439731716571
2014,0.07216711541733813,0.26797922067522795,0.022400832774480267,0.01872991882450679,0.15678581080404777,0.06469016185052098,0.11237701061987648,0.27994785150189677,0.004922077532104857
2015,0.0741026062935982,0.2700956854297866,0.02229585196930487,0.010805123832602853,0.15649229879383506,0.06772523971219578,0.11719595318943123,0.27627858969948094,0.005008651079764451
