year,Computer Science,Economics,Electrical Engineering and Systems Science,Mathematics,Physics,Quantitative Biology,Quantitative Finance,Statistics
1990,2,0,0,24,0,0,0,0
1991,3,0,0,49,301,0,0,0
1992,1,0,0,204,2985,0,0,0
1993,6,0,0,234,6489,0,0,0
1994,15,0,0,336,9727,0,0,0
1995,27,0,0,347,12632,0,0,0
1996,29,0,0,344,15499,0,0,0
1997,22,0,0,463,19125,0,0,0
1998,223,0,0,2110,21827,10,0,0
1999,278,0,0,2554,24865,2,1,0
2000,456,0,0,3198,27009,2,4,0
2001,547,0,0,3400,29188,3,2,0
2002,584,0,0,4499,31020,0,2,0
2003,712,0,0,5504,33020,155,1,0
2004,856,0,0,6821,35565,470,1,0
2005,1186,0,0,8114,37044,527,0,3
2006,1679,0,0,9916,38141,559,4,6
2007,2556,0,0,11645,40433,683,138,294
2008,3237,0,0,12507,41675,687,204,500
2009,4310,0,0,14163,44085,669,336,508
2010,6469,0,1,16299,45779,632,409,699
2011,7272,0,0,18515,48720,678,440,977
2012,10148,0,0,20953,50536,939,454,1344
2013,12587,0,2,23518,53076,1445,575,1672
2014,14049,1,1,25383,54127,1332,636,2061
2015,16215,0,3,27522,56730,1433,671,2556
2016,20838,2,4,28930,58392,1548,733,2993
2017,27344,59,402,30534,59332,1548,691,3871
2018,36518,418,2087,32250,62475,1649,716,4264
2019,45280,613,4474,33596,64932,1695,796,4531
2020,56737,998,7207,35354,69131,2549,943,5356
2021,63289,1270,6275,34376,68594,1889,858,5048
2022,67334,1215,6773,34572,68302,1694,792,5037
